,Close
2024-11-01 00:00:00+00:00,73.20232
2024-11-04 00:00:00+00:00,73.17022
2024-11-05 00:00:00+00:00,73.14477
2024-11-06 00:00:00+00:00,73.125145
2024-11-07 00:00:00+00:00,73.10994
2024-11-08 00:00:00+00:00,73.098114
2024-11-11 00:00:00+00:00,73.0889
2024-11-12 00:00:00+00:00,73.08169
2024-11-13 00:00:00+00:00,73.07604
2024-11-14 00:00:00+00:00,73.071625
2024-11-15 00:00:00+00:00,73.06815
2024-11-18 00:00:00+00:00,73.06543
2024-11-19 00:00:00+00:00,73.0633
2024-11-20 00:00:00+00:00,73.06164
2024-11-21 00:00:00+00:00,73.06033
2024-11-22 00:00:00+00:00,73.05932
2024-11-25 00:00:00+00:00,73.05853
2024-11-26 00:00:00+00:00,73.05793
2024-11-27 00:00:00+00:00,73.057465
2024-11-28 00:00:00+00:00,73.05712
2024-11-29 00:00:00+00:00,73.05686
2024-12-02 00:00:00+00:00,73.05669
2024-12-03 00:00:00+00:00,73.05656
2024-12-04 00:00:00+00:00,73.05648
2024-12-05 00:00:00+00:00,73.05644
2024-12-06 00:00:00+00:00,73.05644
2024-12-09 00:00:00+00:00,73.05646
2024-12-10 00:00:00+00:00,73.056496
2024-12-11 00:00:00+00:00,73.05655
2024-12-12 00:00:00+00:00,73.05662
2024-12-13 00:00:00+00:00,73.0567
2024-12-16 00:00:00+00:00,73.056786
2024-12-17 00:00:00+00:00,73.056885
2024-12-18 00:00:00+00:00,73.05699
2024-12-19 00:00:00+00:00,73.0571
2024-12-20 00:00:00+00:00,73.057205
2024-12-23 00:00:00+00:00,73.05732
2024-12-24 00:00:00+00:00,73.057434
2024-12-25 00:00:00+00:00,73.057556
2024-12-26 00:00:00+00:00,73.05767
2024-12-27 00:00:00+00:00,73.05779
2024-12-30 00:00:00+00:00,73.057915
2024-12-31 00:00:00+00:00,73.05804
2025-01-01 00:00:00+00:00,73.05816
2025-01-02 00:00:00+00:00,73.05828
2025-01-03 00:00:00+00:00,73.058395
2025-01-06 00:00:00+00:00,73.058525
2025-01-07 00:00:00+00:00,73.05865
2025-01-08 00:00:00+00:00,73.05876
2025-01-09 00:00:00+00:00,73.05888
2025-01-10 00:00:00+00:00,73.059006
2025-01-13 00:00:00+00:00,73.05913
2025-01-14 00:00:00+00:00,73.05924
2025-01-15 00:00:00+00:00,73.05936
2025-01-16 00:00:00+00:00,73.05948
2025-01-17 00:00:00+00:00,73.05959
2025-01-20 00:00:00+00:00,73.05971
2025-01-21 00:00:00+00:00,73.05982
2025-01-22 00:00:00+00:00,73.05993
2025-01-23 00:00:00+00:00,73.06004
2025-01-24 00:00:00+00:00,73.06016
2025-01-27 00:00:00+00:00,73.06027
2025-01-28 00:00:00+00:00,73.06038
2025-01-29 00:00:00+00:00,73.06049
2025-01-30 00:00:00+00:00,73.0606
2025-01-31 00:00:00+00:00,73.06071
2025-02-03 00:00:00+00:00,73.06082
2025-02-04 00:00:00+00:00,73.06093
2025-02-05 00:00:00+00:00,73.061035
2025-02-06 00:00:00+00:00,73.06114
2025-02-07 00:00:00+00:00,73.06125
2025-02-10 00:00:00+00:00,73.061356
2025-02-11 00:00:00+00:00,73.061455
2025-02-12 00:00:00+00:00,73.061554
2025-02-13 00:00:00+00:00,73.06166
2025-02-14 00:00:00+00:00,73.06176
2025-02-17 00:00:00+00:00,73.06187
2025-02-18 00:00:00+00:00,73.061966
2025-02-19 00:00:00+00:00,73.062065
2025-02-20 00:00:00+00:00,73.062164
2025-02-21 00:00:00+00:00,73.06226
2025-02-24 00:00:00+00:00,73.06236
2025-02-25 00:00:00+00:00,73.062454
2025-02-26 00:00:00+00:00,73.06255
2025-02-27 00:00:00+00:00,73.06265
2025-02-28 00:00:00+00:00,73.062744
2025-03-03 00:00:00+00:00,73.06284
2025-03-04 00:00:00+00:00,73.062935
2025-03-05 00:00:00+00:00,73.06303
2025-03-06 00:00:00+00:00,73.063126
2025-03-07 00:00:00+00:00,73.06322
2025-03-10 00:00:00+00:00,73.06331
2025-03-11 00:00:00+00:00,73.06339
2025-03-12 00:00:00+00:00,73.063484
2025-03-13 00:00:00+00:00,73.063576
2025-03-14 00:00:00+00:00,73.06367
2025-03-17 00:00:00+00:00,73.06375
2025-03-18 00:00:00+00:00,73.06384
2025-03-19 00:00:00+00:00,73.06393
2025-03-20 00:00:00+00:00,73.06401
2025-03-21 00:00:00+00:00,73.064095
2025-03-24 00:00:00+00:00,73.064186
2025-03-25 00:00:00+00:00,73.06427
2025-03-26 00:00:00+00:00,73.064354
2025-03-27 00:00:00+00:00,73.06444
2025-03-28 00:00:00+00:00,73.06452
2025-03-31 00:00:00+00:00,73.064606
2025-04-01 00:00:00+00:00,73.06469
2025-04-02 00:00:00+00:00,73.064766
2025-04-03 00:00:00+00:00,73.06485
2025-04-04 00:00:00+00:00,73.064926
2025-04-07 00:00:00+00:00,73.06501
2025-04-08 00:00:00+00:00,73.06509
2025-04-09 00:00:00+00:00,73.06517
2025-04-10 00:00:00+00:00,73.06525
2025-04-11 00:00:00+00:00,73.06532
2025-04-14 00:00:00+00:00,73.0654
2025-04-15 00:00:00+00:00,73.065475
2025-04-16 00:00:00+00:00,73.06555
2025-04-17 00:00:00+00:00,73.06563
2025-04-18 00:00:00+00:00,73.065704
2025-04-21 00:00:00+00:00,73.06577
2025-04-22 00:00:00+00:00,73.06585
2025-04-23 00:00:00+00:00,73.065926
2025-04-24 00:00:00+00:00,73.065994
2025-04-25 00:00:00+00:00,73.06607
2025-04-28 00:00:00+00:00,73.06614
2025-04-29 00:00:00+00:00,73.066216
2025-04-30 00:00:00+00:00,73.066284
2025-05-01 00:00:00+00:00,73.06635
2025-05-02 00:00:00+00:00,73.06642
2025-05-05 00:00:00+00:00,73.0665
2025-05-06 00:00:00+00:00,73.06656
2025-05-07 00:00:00+00:00,73.066635
2025-05-08 00:00:00+00:00,73.0667
2025-05-09 00:00:00+00:00,73.066765
2025-05-12 00:00:00+00:00,73.06683
2025-05-13 00:00:00+00:00,73.0669
2025-05-14 00:00:00+00:00,73.06697
2025-05-15 00:00:00+00:00,73.06703
2025-05-16 00:00:00+00:00,73.0671
2025-05-19 00:00:00+00:00,73.06716
2025-05-20 00:00:00+00:00,73.06723
2025-05-21 00:00:00+00:00,73.06729
2025-05-22 00:00:00+00:00,73.06735
2025-05-23 00:00:00+00:00,73.06742
2025-05-26 00:00:00+00:00,73.06748
2025-05-27 00:00:00+00:00,73.06754
2025-05-28 00:00:00+00:00,73.067604
2025-05-29 00:00:00+00:00,73.06767
2025-05-30 00:00:00+00:00,73.067726
2025-06-02 00:00:00+00:00,73.06779
2025-06-03 00:00:00+00:00,73.06785
2025-06-04 00:00:00+00:00,73.06791
2025-06-05 00:00:00+00:00,73.06797
2025-06-06 00:00:00+00:00,73.06803
2025-06-09 00:00:00+00:00,73.068085
2025-06-10 00:00:00+00:00,73.068146
2025-06-11 00:00:00+00:00,73.0682
2025-06-12 00:00:00+00:00,73.06827
2025-06-13 00:00:00+00:00,73.06832
2025-06-16 00:00:00+00:00,73.068375
2025-06-17 00:00:00+00:00,73.068436
2025-06-18 00:00:00+00:00,73.06849
2025-06-19 00:00:00+00:00,73.06854
2025-06-20 00:00:00+00:00,73.068596
2025-06-23 00:00:00+00:00,73.06866
2025-06-24 00:00:00+00:00,73.06871
2025-06-25 00:00:00+00:00,73.06876
2025-06-26 00:00:00+00:00,73.06882
2025-06-27 00:00:00+00:00,73.06887
2025-06-30 00:00:00+00:00,73.068924
2025-07-01 00:00:00+00:00,73.06898
2025-07-02 00:00:00+00:00,73.06902
2025-07-03 00:00:00+00:00,73.06908
2025-07-04 00:00:00+00:00,73.06913
2025-07-07 00:00:00+00:00,73.069176
2025-07-08 00:00:00+00:00,73.06923
2025-07-09 00:00:00+00:00,73.06928
2025-07-10 00:00:00+00:00,73.069336
